Species,Marginal_parechyma_2,Ring_porosity,Radial_dentric_arrangement,Intervessel_pit_size,Helical_thickening,Tyloses,Gums,Septate_fibers,Axial_parenchyma_multistate,AP_states,Wide_rays_more_than_3_cells,Ray_composition,Storied_structure,Radial_canals,Traumatic_canals,Crystals,Crystals_in_rays,Crystals_in_ap,Crystals_in_fibers,Silica,Vessel_ray pits,Growth_ring,FibersThick
Carapa_guianensis,present,absent,absent,small,absent,absent,present,present,scanty,long,present,hetero_more_one,absent,absent,present,present,present,present,absent,absent,equal,present,absent
Cardiospermum_halicacabum,absent,absent,present,small,absent,absent,absent,present,vasicentric,NA,present,hetero_more_one,absent,absent,absent,present,present,present,present,absent,equal,absent,absent
Casimiroa_edulis,absent,absent,present,small,absent,absent,present,absent,aliform,short,absent,homo_exclusively,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Castela_coccinea,absent,present,present,small,absent,absent,absent,absent,aliform,short,present,homo_hetero_one,present,absent,absent,present,absent,present,absent,absent,equal,present,absent
Cedrela_odorata,present,present,absent,small,absent,absent,present,present,scanty,long,absent,homo_hetero_one,absent,absent,present,present,present,present,absent,absent,equal,present,absent
Chloroxylon_swietenia,present,absent,present,small,absent,absent,present,absent,scanty,short,absent,homo_hetero_one,present,absent,present,present,present,present,absent,absent,equal,present,present
Choerospondias_axillaris,absent,present,present,large,absent,present,absent,present,scanty,long,present,homo_hetero_one,absent,present,absent,present,present,present,absent,absent,simple,present,absent
Choisya,present,present,absent,small,present,absent,absent,absent,scanty,short,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,absent,equal,present,absent
Chukrasia_tabularis,present,absent,absent,small,absent,absent,present,absent,scanty,long,present,homo_hetero_one,absent,absent,present,present,present,present,absent,absent,equal,present,absent
Citrus,present,absent,present,small,absent,absent,absent,absent,aliform,short,present,homo_hetero_one,absent,absent,absent,present,present,present,absent,absent,equal,present,absent
Citrus_medica,present,absent,absent,small,absent,absent,absent,absent,aliform,short,absent,homo_hetero_one,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Clausena,present,absent,present,small,absent,absent,present,absent,scanty,short,present,homo_hetero_one,absent,absent,absent,present,absent,present,absent,absent,equal,present,absent
Cneorum_tricoccon,present,present,present,small,present,absent,absent,absent,scanty,short,absent,hetero_more_one,absent,absent,absent,present,present,present,present,absent,equal,present,absent
Commiphora_edulis,absent,absent,absent,large,absent,absent,absent,present,scanty,long,absent,hetero_more_one,absent,present,absent,absent,absent,absent,absent,present,simple,present,absent
Commiphora_falcata,absent,absent,absent,large,absent,present,absent,present,scanty,short,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,absent,simple,present,absent
Commiphora_schimperi,absent,absent,absent,large,absent,absent,absent,present,scanty,long,absent,hetero_more_one,absent,present,absent,present,present,absent,absent,present,simple,absent,absent
Comocladia_engleriana,present,absent,absent,large,absent,present,present,absent,vasicentric,short,absent,homo_hetero_one,absent,absent,absent,present,present,absent,absent,absent,simple,present,absent
Cotinus_obovatus,absent,present,present,large,present,present,absent,absent,vasicentric,long,present,hetero_more_one,absent,absent,absent,present,present,present,absent,absent,simple,present,absent
Crepidospermum_goudotianum,absent,absent,absent,large,absent,present,absent,present,scanty,long,absent,hetero_more_one,absent,absent,absent,present,present,absent,absent,present,simple,present,absent
Cupaniopsis_anacardioides,absent,absent,absent,small,present,absent,present,present,scanty,long,absent,homo_hetero_one,absent,absent,absent,present,absent,absent,present,absent,equal,present,absent
Dacryodes_cuspidata,absent,absent,absent,large,absent,present,absent,present,scanty,long,absent,hetero_more_one,absent,absent,absent,absent,absent,absent,absent,present,simple,absent,absent
Dacryodes_edulis,absent,absent,absent,large,absent,absent,absent,present,scanty,long,absent,hetero_more_one,absent,absent,absent,present,present,absent,absent,present,simple,absent,absent
Dacryodes_rostrata,absent,absent,absent,large,absent,present,absent,present,scanty,long,absent,homo_hetero_one,absent,absent,absent,absent,absent,absent,absent,present,simple,absent,absent
Dacryodes_rugosa,absent,absent,absent,large,absent,present,absent,present,scanty,long,absent,hetero_more_one,absent,absent,absent,present,absent,absent,absent,absent,simple,absent,absent
Dilodendron_bipinnatum,absent,absent,absent,small+large,absent,absent,present,present,aliform,long,absent,homo_exclusively,absent,absent,absent,present,absent,present,NA,absent,equal,absent,absent
Diploglottis,absent,absent,absent,small,absent,absent,present,present,scanty,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,present,absent,equal,present,absent
Diplokeleba_floribunda,absent,absent,NA,small,absent,absent,present,present,aliform,short,absent,homo_hetero_one,absent,absent,absent,present,absent,present,NA,NA,equal,absent,present
Dodonaea_viscosa,present,absent,absent,small,present,absent,present,absent,scanty,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,NA,absent,equal,absent,present
Dracontomelon_lenticulatum,absent,absent,absent,large,absent,present,absent,present,vasicentric,long,present,hetero_more_one,absent,absent,absent,absent,present,absent,absent,absent,simple,absent,absent
Dysoxylum_arborescens,present,absent,absent,small,absent,absent,present,present,aliform,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,absent,absent,equal,present,present
Ekebergia_capensis,present,absent,absent,small,absent,absent,present,absent,vasicentric,long,absent,homo_hetero_one,present,absent,absent,present,absent,present,absent,absent,equal,present,absent
Eurycoma_apiculata,absent,absent,present,NA,absent,absent,absent,absent,aliform,short,present,hetero_more_one,absent,absent,absent,absent,NA,absent,NA,NA,NA,present,present
Eurycorymbus_cavaleriei,present,absent,absent,small,present,absent,present,present,aliform,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,NA,absent,equal,present,absent
Faguetia_falcata,present,absent,absent,small,absent,present,absent,absent,vasicentric,short,absent,homo_hetero_one,absent,absent,absent,present,present,absent,absent,absent,simple,present,absent
Fegimanra_africana,absent,absent,absent,large,absent,absent,absent,absent,vasicentric,short,absent,homo_hetero_one,absent,absent,absent,NA,NA,NA,NA,NA,simple,absent,absent
Filicium_decipiens,present,absent,absent,small,absent,absent,present,present,vasicentric,long,absent,homo_hetero_one,absent,absent,absent,present,absent,present,absent,absent,equal,present,present
Flindersia_australis,present,absent,absent,small,absent,absent,present,absent,scanty,short,absent,homo_exclusively,absent,absent,present,present,absent,present,absent,absent,equal,present,absent
Ganophyllum_falcatum,present,absent,absent,small,absent,absent,present,present,aliform,long,absent,homo_hetero_one,present,absent,absent,present,absent,present,NA,absent,equal,present,absent
Garuga_floribunda,absent,absent,absent,large,absent,absent,absent,present,scanty,long,present,hetero_more_one,absent,present,absent,present,present,absent,absent,absent,simple,present,absent
